unique_id,ds,yhat,level
SUBSEG__SSI0278448,43,4209271.0,Subsegment
SUBSEG__SSI0278448,44,4138031.75,Subsegment
SUBSEG__SSI0278448,45,4356944.5,Subsegment
SUBSEG__SSI0278448,46,4171596.5,Subsegment
SUBSEG__SSI0278448,47,4353991.5,Subsegment
SUBSEG__SSI0278448,48,4091399.0,Subsegment
SUBSEG__SSI0278450,43,318203.21875,Subsegment
SUBSEG__SSI0278450,44,313341.46875,Subsegment
SUBSEG__SSI0278450,45,317940.0,Subsegment
SUBSEG__SSI0278450,46,346648.96875,Subsegment
SUBSEG__SSI0278450,47,346616.03125,Subsegment
SUBSEG__SSI0278450,48,344293.0,Subsegment
SUBSEG__SSI0278452,43,8879500.0,Subsegment
SUBSEG__SSI0278452,44,8774309.0,Subsegment
SUBSEG__SSI0278452,45,8828247.0,Subsegment
SUBSEG__SSI0278452,46,8823056.0,Subsegment
SUBSEG__SSI0278452,47,8825562.0,Subsegment
SUBSEG__SSI0278452,48,8823056.0,Subsegment
SUBSEG__SSI0278454,43,79731.7421875,Subsegment
SUBSEG__SSI0278454,44,79731.7421875,Subsegment
SUBSEG__SSI0278454,45,79731.7421875,Subsegment
SUBSEG__SSI0278454,46,79731.7421875,Subsegment
SUBSEG__SSI0278454,47,79731.7421875,Subsegment
SUBSEG__SSI0278454,48,79731.7421875,Subsegment
SUBSEG__SSI0278456,43,644.59716796875,Subsegment
SUBSEG__SSI0278456,44,644.59716796875,Subsegment
SUBSEG__SSI0278456,45,644.59716796875,Subsegment
SUBSEG__SSI0278456,46,644.59716796875,Subsegment
SUBSEG__SSI0278456,47,644.59716796875,Subsegment
SUBSEG__SSI0278456,48,644.59716796875,Subsegment
SUBSEG__SSI0278458,43,1090135.375,Subsegment
SUBSEG__SSI0278458,44,1234538.375,Subsegment
SUBSEG__SSI0278458,45,1644575.875,Subsegment
SUBSEG__SSI0278458,46,1377868.75,Subsegment
SUBSEG__SSI0278458,47,1256533.75,Subsegment
SUBSEG__SSI0278458,48,1631893.5,Subsegment
SUBSEG__SSI0278460,43,65100.5,Subsegment
SUBSEG__SSI0278460,44,323053.8125,Subsegment
SUBSEG__SSI0278460,45,420165.3125,Subsegment
SUBSEG__SSI0278460,46,53526.5703125,Subsegment
SUBSEG__SSI0278460,47,68757.6640625,Subsegment
SUBSEG__SSI0278460,48,120125.921875,Subsegment
SUBSEG__SSI0278462,43,8348177.5,Subsegment
SUBSEG__SSI0278462,44,8911992.0,Subsegment
SUBSEG__SSI0278462,45,9204942.0,Subsegment
SUBSEG__SSI0278462,46,9200055.0,Subsegment
SUBSEG__SSI0278462,47,9232952.0,Subsegment
SUBSEG__SSI0278462,48,9305039.0,Subsegment
SUBSEG__SSI0278464,43,732151.9375,Subsegment
SUBSEG__SSI0278464,44,491547.3125,Subsegment
SUBSEG__SSI0278464,45,724083.25,Subsegment
SUBSEG__SSI0278464,46,499890.71875,Subsegment
SUBSEG__SSI0278464,47,787688.25,Subsegment
SUBSEG__SSI0278464,48,600773.0,Subsegment
SUBSEG__SSI0278466,43,986812.3125,Subsegment
SUBSEG__SSI0278466,44,1053651.375,Subsegment
SUBSEG__SSI0278466,45,1052098.375,Subsegment
SUBSEG__SSI0278466,46,1052098.375,Subsegment
SUBSEG__SSI0278466,47,1052098.375,Subsegment
SUBSEG__SSI0278466,48,1052098.375,Subsegment
SUBSEG__SSI0278491,43,79628.4140625,Subsegment
SUBSEG__SSI0278491,44,79628.4140625,Subsegment
SUBSEG__SSI0278491,45,79628.4140625,Subsegment
SUBSEG__SSI0278491,46,79628.4140625,Subsegment
SUBSEG__SSI0278491,47,79628.4140625,Subsegment
SUBSEG__SSI0278491,48,79628.4140625,Subsegment
SUBSEG__SSI02786,43,8308.36328125,Subsegment
SUBSEG__SSI02786,44,-13331.828125,Subsegment
SUBSEG__SSI02786,45,948.5126342773438,Subsegment
SUBSEG__SSI02786,46,-10847.208984375,Subsegment
SUBSEG__SSI02786,47,948.5126342773438,Subsegment
SUBSEG__SSI02786,48,948.5126342773438,Subsegment
SUBSEG__SSI0278602,43,36860356.0,Subsegment
SUBSEG__SSI0278602,44,41965640.0,Subsegment
SUBSEG__SSI0278602,45,60423392.0,Subsegment
SUBSEG__SSI0278602,46,37102328.0,Subsegment
SUBSEG__SSI0278602,47,49375504.0,Subsegment
SUBSEG__SSI0278602,48,63738688.0,Subsegment
SUBSEG__SSI0278604,43,-2668.129150390625,Subsegment
SUBSEG__SSI0278604,44,-2668.129150390625,Subsegment
SUBSEG__SSI0278604,45,-2668.129150390625,Subsegment
SUBSEG__SSI0278604,46,-2668.129150390625,Subsegment
SUBSEG__SSI0278604,47,-2668.129150390625,Subsegment
SUBSEG__SSI0278604,48,-2668.129150390625,Subsegment
