iter	Passed	Remaining
601	20035	13245
602	20069	13213
603	20101	13178
604	20129	13142
605	20157	13106
606	20188	13070
607	20215	13033
608	20241	12995
609	20269	12959
610	20297	12922
611	20328	12888
612	20357	12852
613	20386	12816
614	20414	12779
615	20442	12743
616	20472	12708
617	20501	12672
618	20530	12636
619	20565	12604
620	20606	12576
621	20653	12551
622	20701	12527
623	20739	12496
624	20781	12468
625	20824	12441
626	20866	12413
627	20898	12379
628	20932	12346
629	20969	12315
630	21012	12287
631	21059	12262
632	21092	12228
633	21132	12199
634	21165	12166
635	21200	12133
636	21229	12097
637	21267	12067
638	21300	12033
639	21336	12001
640	21370	11969
641	21408	11938
642	21448	11908
643	21491	11880
644	21531	11850
645	21574	11822
646	21607	11789
647	21634	11752
648	21667	11718
649	21702	11685
650	21731	11649
651	21768	11618
652	21806	11587
653	21839	11554
654	21870	11519
655	21900	11484
656	21932	11450
657	21971	11419
658	22009	11389
659	22043	11355
660	22083	11325
661	22117	11292
662	22151	11259
663	22190	11229
664	22228	11197
665	22256	11161
666	22292	11129
667	22331	11099
668	22366	11066
669	22397	11031
670	22428	10997
671	22456	10960
672	22483	10924
673	22512	10888
674	22541	10853
675	22571	10818
676	22600	10782
677	22631	10748
678	22665	10715
679	22706	10685
680	22737	10651
681	22774	10619
682	22815	10589
683	22847	10555
684	22876	10520
685	22905	10484
686	22935	10449
687	22964	10414
688	22993	10378
689	23020	10342
690	23049	10307
691	23081	10273
692	23111	10238
693	23142	10204
694	23173	10169
695	23202	10134
696	23236	10101
697	23266	10066
698	23295	10031
699	23327	9997
700	23357	9962
701	23397	9932
702	23433	9899
703	23472	9869
704	23503	9834
705	23537	9801
706	23567	9767
707	23597	9732
708	23625	9696
709	23657	9662
710	23687	9628
711	23715	9592
712	23752	9560
713	23792	9530
714	23825	9496
715	23854	9461
716	23885	9427
717	23922	9395
718	23964	9365
719	23995	9331
720	24026	9297
721	24056	9262
722	24089	9229
723	24121	9195
724	24165	9166
725	24202	9134
726	24237	9101
727	24268	9067
728	24299	9032
729	24328	8998
730	24359	8964
731	24389	8929
732	24419	8894
733	24448	8859
734	24477	8825
735	24516	8793
736	24556	8762
737	24602	8734
738	24646	8704
739	24692	8675
740	24734	8645
741	24781	8616
742	24815	8583
743	24849	8550
744	24881	8516
745	24912	8482
746	24944	8448
747	24973	8413
748	25002	8378
749	25029	8343
750	25059	8308
751	25094	8275
752	25137	8245
753	25169	8211
754	25207	8180
755	25238	8145
756	25269	8111
757	25301	8077
758	25330	8043
759	25367	8010
760	25409	7980
761	25450	7949
762	25489	7917
763	25534	7887
764	25578	7857
765	25622	7827
766	25656	7793
767	25686	7759
768	25716	7724
769	25745	7690
770	25775	7655
771	25808	7622
772	25837	7587
773	25868	7553
774	25895	7518
775	25925	7483
776	25964	7451
777	26002	7419
778	26050	7390
779	26085	7357
780	26119	7324
781	26161	7293
782	26210	7264
783	26249	7231
784	26285	7199
785	26322	7166
786	26362	7134
787	26399	7102
788	26441	7071
789	26477	7038
790	26515	7006
791	26551	6973
792	26581	6938
793	26624	6907
794	26668	6876
795	26709	6845
796	26746	6812
797	26786	6780
798	26817	6746
799	26851	6712
800	26893	6681
801	26929	6648
802	26959	6613
803	26999	6582
804	27035	6548
805	27064	6514
806	27099	6481
807	27140	6449
808	27184	6418
809	27224	6385
810	27263	6353
811	27304	6321
812	27341	6288
813	27371	6254
814	27400	6219
815	27429	6185
816	27458	6150
817	27486	6115
818	27515	6080
819	27547	6046
820	27577	6012
821	27611	5979
822	27642	5945
823	27670	5910
824	27705	5876
825	27735	5842
826	27763	5807
827	27797	5774
828	27829	5740
829	27857	5705
830	27893	5672
831	27931	5640
832	27967	5607
833	27997	5572
834	28028	5538
835	28056	5503
836	28087	5469
837	28118	5435
838	28148	5401
839	28176	5367
840	28214	5334
841	28252	5301
842	28292	5269
843	28330	5236
844	28375	5205
