iter	Passed	Remaining
839	37824	7204
840	37873	7160
841	37932	7117
842	37987	7074
843	38034	7030
844	38077	6984
845	38119	6939
846	38169	6894
847	38226	6851
848	38283	6808
849	38339	6765
850	38398	6723
851	38456	6680
852	38501	6635
853	38548	6590
854	38597	6545
855	38643	6500
856	38702	6457
857	38751	6413
858	38795	6367
859	38851	6324
860	38896	6279
861	38934	6233
862	38976	6187
863	39015	6141
864	39055	6095
865	39099	6049
866	39154	6006
867	39204	5962
868	39245	5916
869	39293	5871
870	39338	5826
871	39383	5781
872	39431	5736
873	39489	5693
874	39533	5647
875	39580	5602
876	39632	5558
877	39695	5515
878	39741	5470
879	39791	5426
880	39842	5381
881	39883	5335
882	39937	5291
883	39988	5247
884	40047	5203
885	40110	5160
886	40162	5116
887	40201	5070
888	40242	5024
889	40292	4980
890	40354	4936
891	40408	4892
892	40464	4848
893	40515	4803
894	40572	4759
895	40639	4717
896	40687	4672
897	40725	4625
898	40759	4579
899	40796	4532
900	40834	4486
901	40871	4440
902	40910	4394
903	40947	4348
904	40990	4302
905	41032	4257
906	41069	4211
907	41106	4165
908	41139	4118
909	41184	4073
910	41234	4028
911	41284	3983
912	41324	3937
913	41379	3893
914	41427	3848
915	41478	3803
916	41533	3759
917	41589	3714
918	41649	3670
919	41705	3626
920	41761	3582
921	41802	3536
922	41853	3491
923	41895	3445
924	41943	3400
925	41995	3356
926	42056	3311
927	42105	3266
928	42168	3222
929	42234	3178
930	42298	3134
931	42350	3089
932	42387	3043
933	42425	2997
934	42466	2952
935	42508	2906
936	42546	2860
937	42578	2814
938	42613	2768
939	42655	2722
940	42698	2677
941	42737	2631
942	42777	2585
943	42833	2540
944	42887	2496
945	42933	2450
946	42970	2404
947	43004	2358
948	43050	2313
949	43092	2268
950	43131	2222
951	43169	2176
952	43209	2130
953	43246	2085
954	43288	2039
955	43329	1994
956	43369	1948
957	43410	1903
958	43446	1857
959	43477	1811
960	43509	1765
961	43542	1719
962	43588	1674
963	43641	1629
964	43702	1585
965	43748	1539
966	43806	1494
967	43849	1449
968	43894	1404
969	43936	1358
970	43974	1313
971	44012	1267
972	44060	1222
973	44101	1177
974	44140	1131
975	44175	1086
976	44215	1040
977	44262	995
978	44307	950
979	44354	905
980	44393	859
981	44431	814
982	44472	769
983	44512	723
984	44554	678
985	44596	633
986	44647	588
987	44704	542
988	44755	497
989	44804	452
990	44847	407
991	44888	362
992	44927	316
993	44973	271
994	45028	226
995	45087	181
996	45131	135
997	45184	90
998	45230	45
999	45295	0
