iter	MAE
657	23638703.02
658	23631692.72
659	23630346.94
660	23627469.31
661	23622487.6
662	23619797.03
663	23613363.42
664	23610101.05
665	23604472.99
666	23602699.49
667	23600837.97
668	23596765
669	23593373.78
670	23589724.43
671	23586700.96
672	23585550.71
673	23580336.33
674	23576842.25
675	23569140.71
676	23567844.54
677	23564165.34
678	23559990.72
679	23558161.37
680	23553022.12
681	23552005.94
682	23550085.5
683	23544161.94
684	23542531.56
685	23537870.29
686	23535238.69
687	23532785.32
688	23529228.38
689	23521773.38
690	23518146.2
691	23514709.58
692	23513301.22
693	23508657.53
694	23504061.49
695	23499165.14
696	23494695.87
697	23489605.25
698	23487124.07
699	23483987.42
700	23479829.22
701	23474089.39
702	23469788.77
703	23464592.32
704	23463326
705	23456365.62
706	23451567.05
707	23447658.55
708	23441175.23
709	23435809.85
710	23432806.54
711	23427599.32
712	23425809.01
713	23425140
714	23415533.87
715	23409747.08
716	23404431.78
717	23398517.01
718	23396243.45
719	23392657.89
720	23386216.89
721	23385333.76
722	23380675.95
723	23377031.51
724	23376129.19
725	23372732.13
726	23370951.78
727	23366390.16
728	23362842.2
729	23358832.97
730	23356858.3
731	23350580.43
732	23348756.1
733	23345258.05
734	23334431.61
735	23329011.89
736	23321846.66
737	23321196.96
738	23314117.16
739	23311880.9
740	23304292.41
741	23301394.21
742	23295090.62
743	23293106.37
744	23288620.61
745	23280892.23
746	23272568.27
747	23268487.27
748	23263894.21
749	23259807.55
750	23258522.39
751	23250870.26
752	23248355.14
753	23241734.17
754	23237507.26
755	23235513.03
756	23233821.03
757	23229387.91
758	23226082.62
759	23221422.51
760	23217532.53
761	23215701.67
762	23213725.09
763	23209923.92
764	23207578.02
765	23205292.09
766	23199478.72
767	23194231.86
768	23191633.25
769	23188008.69
770	23183842.46
771	23176696.23
772	23175388.94
773	23171305.66
774	23167316.94
775	23165424.05
776	23161823.8
777	23156813.23
778	23155264.97
779	23153080.79
780	23147551.09
781	23146421.78
782	23142725.68
783	23141794.62
784	23138200.81
785	23133587.29
786	23129815.61
787	23127138.43
788	23122987.63
789	23116940.86
790	23110574.33
791	23105792.11
792	23103223.74
793	23101123.64
794	23100250.82
795	23095838.89
796	23093774.12
797	23086636.2
798	23084952.94
799	23081720.42
800	23077119.11
801	23075891.06
802	23074315.28
803	23069538.51
804	23066164.69
805	23060654.79
806	23054861.99
807	23051019.5
808	23049050.34
809	23047340.63
810	23044345.86
811	23042594.75
812	23040972.41
813	23038705.58
814	23033473.83
815	23025645
816	23016332.8
817	23011826.54
818	23001875.34
819	22999355.18
820	22997409.73
821	22995392.66
822	22993458.72
823	22985264.28
824	22978615.23
825	22977787.31
826	22970808.78
827	22964538.08
828	22963093.57
829	22959694.06
830	22954133.55
831	22953454.91
832	22950546.8
833	22944784.04
834	22941177.57
835	22937726.32
836	22930544.52
837	22928406.51
838	22924058.23
839	22920264.88
840	22909882.18
841	22908806.75
842	22905577.37
843	22901709.45
844	22898194.6
845	22892306.47
846	22889221.38
847	22885988.44
848	22881438.82
849	22875801.26
850	22872716.43
851	22868810.93
852	22867196.29
853	22862036.26
854	22861375.28
855	22857501.44
856	22851849.85
857	22846303.06
858	22843556.01
859	22840114.99
860	22838475.42
861	22835581.5
862	22833895.78
863	22832105.06
864	22822832.03
865	22817268.95
866	22816067.42
867	22810121.36
868	22807788.98
869	22806197.13
870	22804654.66
871	22804344.09
872	22801088.16
873	22797927.68
874	22792942.55
875	22789089.54
876	22784708.38
877	22781853.33
878	22773047.76
879	22766419.41
880	22760551.99
881	22759003.58
882	22754811.95
883	22751522.5
884	22749698.23
885	22747342.17
