iter	Passed	Remaining
851	24139	4193
852	24169	4165
853	24198	4136
854	24228	4108
855	24256	4080
856	24286	4052
857	24314	4024
858	24342	3995
859	24371	3967
860	24400	3939
861	24428	3910
862	24457	3882
863	24486	3854
864	24515	3826
865	24542	3797
866	24572	3769
867	24599	3740
868	24627	3712
869	24654	3684
870	24681	3655
871	24709	3627
872	24738	3598
873	24765	3570
874	24796	3542
875	24824	3513
876	24852	3485
877	24879	3457
878	24909	3428
879	24937	3400
880	24965	3372
881	24990	3343
882	25018	3315
883	25045	3286
884	25072	3257
885	25100	3229
886	25129	3201
887	25158	3173
888	25187	3144
889	25215	3116
890	25241	3087
891	25269	3059
892	25298	3031
893	25325	3002
894	25357	2974
895	25386	2946
896	25417	2918
897	25443	2890
898	25471	2861
899	25498	2833
900	25526	2804
901	25552	2776
902	25581	2747
903	25609	2719
904	25637	2691
905	25664	2662
906	25691	2634
907	25720	2606
908	25748	2577
909	25778	2549
910	25807	2521
911	25836	2492
912	25865	2464
913	25894	2436
914	25922	2408
915	25949	2379
916	25977	2351
917	26005	2322
918	26034	2294
919	26063	2266
920	26091	2238
921	26121	2209
922	26147	2181
923	26176	2153
924	26204	2124
925	26234	2096
926	26263	2068
927	26294	2040
928	26322	2011
929	26352	1983
930	26382	1955
931	26411	1927
932	26441	1898
933	26470	1870
934	26497	1842
935	26526	1813
936	26554	1785
937	26582	1757
938	26609	1728
939	26637	1700
940	26665	1671
941	26694	1643
942	26722	1615
943	26751	1586
944	26779	1558
945	26811	1530
946	26844	1502
947	26874	1474
948	26902	1445
949	26933	1417
950	26964	1389
951	26992	1360
952	27020	1332
953	27048	1304
954	27077	1275
955	27105	1247
956	27134	1219
957	27161	1190
958	27188	1162
959	27215	1133
960	27244	1105
961	27271	1077
962	27300	1048
963	27328	1020
964	27357	992
965	27387	963
966	27415	935
967	27441	907
968	27467	878
969	27495	850
970	27522	821
971	27549	793
972	27577	765
973	27607	736
974	27636	708
975	27664	680
976	27691	651
977	27717	623
978	27749	595
979	27779	566
980	27808	538
981	27837	510
982	27865	481
983	27892	453
984	27919	425
985	27945	396
986	27974	368
987	28003	340
988	28030	311
989	28056	283
990	28084	255
991	28111	226
992	28140	198
993	28170	170
994	28199	141
995	28227	113
996	28257	85
997	28286	56
998	28312	28
999	28339	0
